TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-02,2026-04-02,FO,BSE,IDO,859363,,BANKEX,,2026-04-30,2026-04-30,57100.00,PE,BANKEX26APR57100PE,2036.65,2036.65,1785.35,1785.35,1785.35,1450.30,58009.41,1445.00,60,0,120,7081320.00,2,F1,30,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,859478,,BANKEX,,2026-04-30,2026-04-30,56600.00,CE,BANKEX26APR56600CE,2068.35,2230.00,2068.35,2230.00,2230.00,2665.40,58009.41,2891.25,120,120,120,7049901.00,2,F1,30,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,849651,,SENSEX,,2026-04-30,2026-04-30,81000.00,CE,SENSEX26APR81000CE,88.10,127.65,80.00,117.20,115.30,123.60,73319.55,117.20,1580,260,1820,147585988.00,45,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,851579,,SENSEX,,2026-04-30,2026-04-30,78000.00,PE,SENSEX26APR78000PE,5900.00,6000.00,4610.00,4610.00,4610.00,4748.50,73319.55,4830.15,2920,260,320,26694138.00,11,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,851901,,SENSEX,,2026-04-30,2026-04-30,74200.00,CE,SENSEX26APR74200CE,1287.90,1735.65,1261.75,1735.65,1735.65,1827.85,73319.55,1735.65,100,-20,200,15109430.00,9,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,852156,,SENSEX,,2026-04-30,2026-04-30,74500.00,PE,SENSEX26APR74500PE,2843.20,2843.20,2467.55,2513.50,2509.50,2482.40,73319.55,2513.50,2560,-140,640,49357315.00,26,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,853733,,SENSEX,,2026-04-30,2026-04-30,75800.00,CE,SENSEX26APR75800CE,719.40,1075.55,678.35,1049.35,1025.35,1109.65,73319.55,1049.35,200,-20,400,30656784.00,18,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,854681,,SENSEX,,2026-04-30,2026-04-30,79000.00,CE,SENSEX26APR79000CE,207.00,287.85,155.00,270.30,250.00,307.00,73319.55,270.30,3480,300,5020,397575345.00,122,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,855452,,SENSEX,,2026-04-30,2026-04-30,73500.00,PE,SENSEX26APR73500PE,2800.00,2908.85,1900.00,2037.10,1990.00,2009.35,73319.55,2037.10,5940,-740,7640,580705298.00,344,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,856180,,SENSEX,,2026-04-30,2026-04-30,77300.00,CE,SENSEX26APR77300CE,379.25,612.40,368.00,590.90,566.90,628.85,73319.55,590.90,260,80,700,54438127.00,26,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,856505,,SENSEX,,2026-04-30,2026-04-30,73900.00,PE,SENSEX26APR73900PE,2253.55,2385.00,2253.55,2385.00,2385.00,1940.20,73319.55,2004.20,140,0,80,6097542.00,2,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,857379,,SENSEX,,2026-04-30,2026-04-30,72900.00,CE,SENSEX26APR72900CE,1991.65,2650.05,1962.35,2650.05,2650.05,2754.20,73319.55,2650.05,120,-20,220,16530294.00,10,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,857525,,SENSEX,,2026-04-30,2026-04-30,72900.00,PE,SENSEX26APR72900PE,2442.90,2586.50,1711.00,1711.00,1711.00,1826.40,73319.55,1711.00,300,120,200,14977727.00,5,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,858856,,SENSEX,,2026-04-30,2026-04-30,72300.00,CE,SENSEX26APR72300CE,2330.30,2363.80,2330.30,2363.80,2363.80,2943.05,73319.55,2583.15,80,0,80,5971764.00,2,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,858901,,SENSEX,,2026-04-30,2026-04-30,72600.00,PE,SENSEX26APR72600PE,2299.45,2299.45,1799.80,1799.80,1799.80,1672.85,73319.55,1382.40,320,100,160,11935537.00,7,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,859339,,SENSEX,,2026-04-30,2026-04-30,71200.00,PE,SENSEX26APR71200PE,1353.70,1353.70,1285.90,1285.90,1285.90,1120.15,73319.55,870.95,160,80,80,5801630.00,3,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,863808,,SENSEX,,2026-04-02,2026-04-02,82000.00,CE,SENSEX2640282000CE,0.70,1.15,0.05,73319.55,0.05,0.75,73319.55,73319.55,43380,-54660,882480,72363743165.00,3370,F1,20,,,,,
2026-04-02,2026-04-02,FO,BSE,IDO,863892,,SENSEX,,2026-04-02,2026-04-02,86800.00,CE,SENSEX2640286800CE,1.00,1.00,0.05,73319.55,0.10,0.75,73319.55,73319.55,500,320,1040,90272628.00,19,F1,20,,,,,
