INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTSTK,BHARTIARTL,30-Jun-2026,0,,1810,1831.6,1802.8,1829.4,1829.4,11995,103717.4513,52548300,-2647175,12-Jun-2026
FUTSTK,BHARTIARTL,28-Jul-2026,0,,1807.9,1827.2,1802,1825.4,1825.4,547,4718.29,1240225,-21850,12-Jun-2026
FUTSTK,BHARTIARTL,25-Aug-2026,0,,1804,1827,1800,1825.4,1825.4,238,2051.6333,7199100,44650,12-Jun-2026
FUTSTK,BHEL,30-Jun-2026,0,,379.9,382.25,371,380.7,380.7,4126,40928.5209,111880125,1614375,12-Jun-2026
FUTSTK,BHEL,28-Jul-2026,0,,380,384.5,374,382.8,382.8,400,3985.5926,2207625,212625,12-Jun-2026
FUTSTK,BHEL,25-Aug-2026,0,,379.75,385,374.65,383.7,383.7,51,510.1688,422625,47250,12-Jun-2026
FUTSTK,BIOCON,30-Jun-2026,0,,419.7,423,415.3,420.05,420.05,1497,15711.6338,38745000,37500,12-Jun-2026
FUTSTK,BIOCON,28-Jul-2026,0,,420.8,424.75,418,421.9,421.9,156,1643.615,1137500,102500,12-Jun-2026
FUTSTK,BIOCON,25-Aug-2026,0,,424.8,424.8,420.3,423.95,424.7,6,63.4138,127500,10000,12-Jun-2026
FUTSTK,BLUESTARCO,30-Jun-2026,0,,1570,1595.1,1553.4,1589.4,1589.4,1684,8627.1881,2537925,-121875,12-Jun-2026
FUTSTK,BLUESTARCO,28-Jul-2026,0,,1586.3,1591.3,1553.5,1586.9,1586.9,66,338.0429,87100,2275,12-Jun-2026
FUTSTK,BLUESTARCO,25-Aug-2026,0,,1570,1585.8,1570,1585.8,1585.8,2,10.2564,11375,-650,12-Jun-2026
FUTSTK,BOSCHLTD,30-Jun-2026,0,,38460,39525,38460,39155,39155,4004,39132.5963,285425,-18275,12-Jun-2026
FUTSTK,BOSCHLTD,28-Jul-2026,0,,39390,39665,39000,39365,39365,192,1886.7725,8350,400,12-Jun-2026
FUTSTK,BOSCHLTD,25-Aug-2026,0,,38800,39445,38800,39330,39330,33,323.1525,850,-125,12-Jun-2026
FUTSTK,BPCL,30-Jun-2026,0,,294.75,305,293,303.85,303.85,5492,32455.489,44058300,-904550,12-Jun-2026
FUTSTK,BPCL,28-Jul-2026,0,,294.6,306.65,294.3,305.25,305.25,381,2258.7878,3191600,27650,12-Jun-2026
FUTSTK,BPCL,25-Aug-2026,0,,296.45,306.8,296.45,305.9,305.9,87,515.4009,126400,-59250,12-Jun-2026
FUTSTK,BRITANNIA,30-Jun-2026,0,,5148.5,5209.5,5142,5194,5194,1497,9691.1531,2631875,15125,12-Jun-2026
FUTSTK,BRITANNIA,28-Jul-2026,0,,5208,5230,5170.5,5222.5,5222.5,52,338.2144,58625,1250,12-Jun-2026
FUTSTK,BRITANNIA,25-Aug-2026,0,,5140,5168.5,5114,5168.5,5168.5,7,45.0231,18375,500,12-Jun-2026
FUTSTK,BSE,30-Jun-2026,0,,3953,4074,3911,4061.8,4061.8,8091,121203.0098,7925625,-143625,12-Jun-2026
FUTSTK,BSE,28-Jul-2026,0,,3950,4099,3925.1,4075.2,4075.2,1164,9348.6814,503800,22800,12-Jun-2026
FUTSTK,BSE,25-Aug-2026,0,,3972.5,4115.2,3947,4091.2,4091.2,91,734.1848,112200,-2800,12-Jun-2026
FUTSTK,CAMS,30-Jun-2026,0,,739,764.85,736.25,762,762,2554,14351.0629,6016500,-188250,12-Jun-2026
FUTSTK,CAMS,28-Jul-2026,0,,741.05,763,734.95,761.4,761.4,139,866.3292,386925,33000,12-Jun-2026
FUTSTK,CAMS,25-Aug-2026,0,,744.9,760.75,744.9,759.85,759.85,11,68.5979,47850,-825,12-Jun-2026
FUTSTK,CANBK,30-Jun-2026,0,,130.49,132.55,129.13,132.34,132.34,6614,58439.3366,278694000,-587250,12-Jun-2026
FUTSTK,CANBK,28-Jul-2026,0,,131.5,134.53,129.99,133.03,133.03,830,7372.6031,13770000,1593000,12-Jun-2026
FUTSTK,CANBK,25-Aug-2026,0,,130.64,133.94,130.64,133.79,133.79,127,1133.1455,2004750,270000,12-Jun-2026
FUTSTK,CDSL,30-Jun-2026,0,,1209.9,1237,1201.3,1234,1234,4440,25764.1715,10210125,-765225,12-Jun-2026
FUTSTK,CDSL,28-Jul-2026,0,,1209.8,1237.9,1204.1,1235,1235,553,3208.378,1346150,3325,12-Jun-2026
FUTSTK,CDSL,25-Aug-2026,0,,1210.1,1233.2,1203.9,1231.6,1231.6,179,1036.0938,413250,-21850,12-Jun-2026
FUTSTK,CGPOWER,30-Jun-2026,0,,919.75,920,898.55,916.95,916.95,3848,29787.0086,19417400,144500,12-Jun-2026
FUTSTK,CGPOWER,28-Jul-2026,0,,920.2,925.45,905,921.25,921.25,225,1749.7713,2679200,25500,12-Jun-2026
FUTSTK,CGPOWER,25-Aug-2026,0,,925,929.85,910,927.15,927.15,21,164.1172,109650,3400,12-Jun-2026
FUTSTK,CHOLAFIN,30-Jun-2026,0,,1504,1585.5,1492.3,1575.9,1575.9,7444,71483.0531,16388125,213125,12-Jun-2026
FUTSTK,CHOLAFIN,28-Jul-2026,0,,1524,1589.8,1505.4,1583.8,1583.8,372,3599.03,2478125,5000,12-Jun-2026
FUTSTK,CHOLAFIN,25-Aug-2026,0,,1525,1596,1513.7,1588,1588,12,116.3144,8750,-625,12-Jun-2026
FUTSTK,CIPLA,30-Jun-2026,0,,1400,1400,1385.9,1393.4,1393.4,2041,10661.4799,14580375,-132750,12-Jun-2026
FUTSTK,CIPLA,28-Jul-2026,0,,1401.6,1406.8,1396.6,1401.5,1401.5,71,422.9541,1770125,4675,12-Jun-2026
FUTSTK,CIPLA,25-Aug-2026,0,,1410,1410,1410,1410,1408.3,2,11.985,8925,0,12-Jun-2026
FUTSTK,COALINDIA,30-Jun-2026,0,,453.5,453.5,441.9,446.35,446.35,7399,44527.3153,81612900,2366550,12-Jun-2026
FUTSTK,COALINDIA,28-Jul-2026,0,,450.5,450.95,444.1,448.45,448.45,530,3200.258,5348700,259200,12-Jun-2026
FUTSTK,COALINDIA,25-Aug-2026,0,,449,449,441.45,445.4,445.4,107,643.5693,481950,93150,12-Jun-2026
FUTSTK,COCHINSHIP,30-Jun-2026,0,,1400,1433,1387.8,1424.8,1424.8,2351,13250.5344,3671200,133200,12-Jun-2026
FUTSTK,COCHINSHIP,28-Jul-2026,0,,1411.7,1426.9,1385.3,1421.2,1421.2,624,3494.79,680000,126000,12-Jun-2026
FUTSTK,COCHINSHIP,25-Aug-2026,0,,1393.8,1425.6,1388.6,1420.3,1420.3,21,118.8876,21200,-4000,12-Jun-2026
FUTSTK,COFORGE,30-Jun-2026,0,,1414,1414,1370.1,1374.1,1374.1,7712,39997.7576,15907875,-135375,12-Jun-2026
FUTSTK,COFORGE,28-Jul-2026,0,,1411.4,1411.4,1375,1378.6,1378.6,394,2592.4921,503500,56050,12-Jun-2026
FUTSTK,COFORGE,25-Aug-2026,0,,1408,1410.5,1381.5,1384.6,1384.6,72,477.0354,133000,24225,12-Jun-2026
FUTSTK,COLPAL,30-Jun-2026,0,,2045.1,2085.8,2045,2080.6,2080.6,2073,9637.9067,4402350,-39600,12-Jun-2026
FUTSTK,COLPAL,28-Jul-2026,0,,2072.1,2092.4,2054,2088.6,2088.6,61,347.9344,136125,-2750,12-Jun-2026
FUTSTK,COLPAL,25-Aug-2026,0,,2078,2099.9,2068.2,2099.9,2099.9,4,22.8968,9075,-275,12-Jun-2026
FUTSTK,CONCOR,30-Jun-2026,0,,445.7,453.8,440.75,452.65,452.65,2886,16180.4125,26800000,57500,12-Jun-2026
FUTSTK,CONCOR,28-Jul-2026,0,,449,456,443.35,455.05,455.05,285,1603.1294,1271250,55000,12-Jun-2026
FUTSTK,CONCOR,25-Aug-2026,0,,452.5,457.4,445.5,455.95,455.95,43,243.2831,187500,25000,12-Jun-2026
FUTSTK,CROMPTON,30-Jun-2026,0,,256.7,260.35,253.5,257.55,257.55,3764,17414.0253,51400800,925200,12-Jun-2026
FUTSTK,CROMPTON,28-Jul-2026,0,,255.05,258.5,252,256.1,256.1,182,999.8543,1978000,109650,12-Jun-2026
FUTSTK,CROMPTON,25-Aug-2026,0,,257.8,259,253.9,257.55,257.55,34,188.01,281650,32250,12-Jun-2026
FUTSTK,CUMMINSIND,30-Jun-2026,0,,5652,5678,5581,5652.5,5652.5,1985,22358.83,4025200,26600,12-Jun-2026
FUTSTK,CUMMINSIND,28-Jul-2026,0,,5650,5662.5,5571,5638,5638,133,1493.419,62200,5000,12-Jun-2026
FUTSTK,CUMMINSIND,25-Aug-2026,0,,5672.5,5672.5,5605,5605,5698,4,45.181,20400,-200,12-Jun-2026
FUTSTK,DABUR,30-Jun-2026,0,,424.95,431.4,422.5,428.85,428.85,2952,15751.0756,20866250,446250,12-Jun-2026
FUTSTK,DABUR,28-Jul-2026,0,,422,426.5,419.75,425.4,425.4,243,1285.3056,2790000,81250,12-Jun-2026
FUTSTK,DABUR,25-Aug-2026,0,,427,428.65,422,427.8,427.8,50,266.1388,202500,20000,12-Jun-2026
FUTSTK,DALBHARAT,30-Jun-2026,0,,1630,1668,1628.9,1663.5,1663.5,2711,14566.8322,4498000,189150,12-Jun-2026
FUTSTK,DALBHARAT,28-Jul-2026,0,,1647.6,1671,1639.1,1667.5,1667.5,341,1832.8505,186550,55900,12-Jun-2026
FUTSTK,DALBHARAT,25-Aug-2026,0,,1662.3,1672,1659,1667.1,1667.1,12,64.9542,17225,-1625,12-Jun-2026
FUTSTK,DELHIVERY,30-Jun-2026,0,,436.55,444,434.65,441.95,441.95,1413,12894.8416,27919125,-16600,12-Jun-2026
FUTSTK,DELHIVERY,28-Jul-2026,0,,441.35,446.6,438.3,443.9,443.9,79,725.0693,336150,35275,12-Jun-2026
FUTSTK,DELHIVERY,25-Aug-2026,0,,441.65,448,441.3,446,446,7,64.5242,41500,6225,12-Jun-2026
FUTSTK,DIVISLAB,30-Jun-2026,0,,6730,6752.5,6650,6673.5,6673.5,1941,12976.4055,2925500,38000,12-Jun-2026
FUTSTK,DIVISLAB,28-Jul-2026,0,,6749,6760.5,6655.5,6681.5,6681.5,146,978.323,119000,6900,12-Jun-2026
FUTSTK,DIVISLAB,25-Aug-2026,0,,6769.5,6769.5,6695.5,6721,6721,10,67.213,2600,200,12-Jun-2026
FUTSTK,DIXON,30-Jun-2026,0,,11519,11640,11406,11612,11612,5589,32264.2545,2536350,24000,12-Jun-2026
FUTSTK,DIXON,28-Jul-2026,0,,11597,11676,11452,11643,11643,544,3151.9145,128650,1750,12-Jun-2026
FUTSTK,DIXON,25-Aug-2026,0,,11634,11724,11520,11705,11705,82,477.22,14900,-750,12-Jun-2026
FUTSTK,DLF,30-Jun-2026,0,,575.5,591.95,568.05,590.45,590.45,6287,30260.6255,40542975,446325,12-Jun-2026
FUTSTK,DLF,28-Jul-2026,0,,578.5,592.4,569.5,591.05,591.05,268,1483.7,1089650,-25650,12-Jun-2026
FUTSTK,DLF,25-Aug-2026,0,,578.75,589,567,587.7,587.7,47,259.0413,1901900,19000,12-Jun-2026
FUTSTK,DMART,30-Jun-2026,0,,4034.6,4056.7,3960,4004,4004,3493,20966.3333,3269250,25950,12-Jun-2026
FUTSTK,DMART,28-Jul-2026,0,,4053.1,4053.1,3978.6,4019.1,4019.1,192,1156.0055,62550,11550,12-Jun-2026
FUTSTK,DMART,25-Aug-2026,0,,4058,4058,3993,4037.4,4037.4,36,217.4876,11550,3150,12-Jun-2026
FUTSTK,DRREDDY,30-Jun-2026,0,,1288,1288,1268.4,1273.9,1273.9,2400,19117.125,15082500,260625,12-Jun-2026
FUTSTK,DRREDDY,28-Jul-2026,0,,1277.4,1282,1266.2,1271.4,1271.4,121,962.9281,294375,36875,12-Jun-2026
FUTSTK,DRREDDY,25-Aug-2026,0,,1278.5,1278.5,1275.9,1276.4,1276.4,4,31.9206,21875,2500,12-Jun-2026
FUTSTK,EICHERMOT,30-Jun-2026,0,,7310,7388,7227,7338.5,7338.5,4839,35362.8695,3495800,1200,12-Jun-2026
FUTSTK,EICHERMOT,28-Jul-2026,0,,7318,7408,7277,7379.5,7379.5,313,2298.868,122100,11600,12-Jun-2026
