INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTSTK,BSE,30-Jun-2026,0,,3920,3965.8,3870.4,3893.2,3893.2,4946,72656.0685,8069250,319875,11-Jun-2026
FUTSTK,BSE,28-Jul-2026,0,,3938.1,3979,3890.1,3910.2,3910.2,546,4296.7716,481000,35200,11-Jun-2026
FUTSTK,BSE,25-Aug-2026,0,,3960,3990,3918.3,3928.7,3928.7,79,625.5708,115000,1600,11-Jun-2026
FUTSTK,CAMS,30-Jun-2026,0,,723.2,739.6,723.2,725.65,725.65,1089,5961.015,6204750,258000,11-Jun-2026
FUTSTK,CAMS,28-Jul-2026,0,,730.6,737.5,721.7,724.1,724.1,64,385.5831,353925,30525,11-Jun-2026
FUTSTK,CAMS,25-Aug-2026,0,,736,737.3,725.5,726.9,726.9,9,54.3357,48675,6600,11-Jun-2026
FUTSTK,CANBK,30-Jun-2026,0,,132.75,134.18,130.81,131.93,131.93,5012,44721.2178,279281250,1458000,11-Jun-2026
FUTSTK,CANBK,28-Jul-2026,0,,133.2,134.6,131.63,132.59,132.59,326,2922.8769,12177000,688500,11-Jun-2026
FUTSTK,CANBK,25-Aug-2026,0,,134.8,135.4,132.4,133.27,133.27,76,685.1486,1734750,249750,11-Jun-2026
FUTSTK,CDSL,30-Jun-2026,0,,1198.8,1198.8,1181.2,1188.6,1188.6,2479,13997.8372,10975350,253175,11-Jun-2026
FUTSTK,CDSL,28-Jul-2026,0,,1192,1197.5,1184,1190.9,1190.9,528,2984.32,1342825,138225,11-Jun-2026
FUTSTK,CDSL,25-Aug-2026,0,,1191,1195,1184,1189.4,1189.4,166,937.3531,435100,52250,11-Jun-2026
FUTSTK,CGPOWER,30-Jun-2026,0,,901.8,929.9,901.25,903.75,903.75,3432,26656.9486,19272900,184450,11-Jun-2026
FUTSTK,CGPOWER,28-Jul-2026,0,,914.15,934.4,908,909.5,909.5,122,953.8445,2653700,42500,11-Jun-2026
FUTSTK,CGPOWER,25-Aug-2026,0,,927.15,936,913,913.55,913.55,19,148.484,106250,5950,11-Jun-2026
FUTSTK,CHOLAFIN,30-Jun-2026,0,,1470.1,1480,1455.7,1461.1,1461.1,1548,14195.6456,16175000,288750,11-Jun-2026
FUTSTK,CHOLAFIN,28-Jul-2026,0,,1480,1488.4,1463.7,1467.3,1467.3,118,1086.7775,2473125,29375,11-Jun-2026
FUTSTK,CHOLAFIN,25-Aug-2026,0,,1486,1493.3,1483.4,1483.4,1475,4,37.1731,9375,1875,11-Jun-2026
FUTSTK,CIPLA,30-Jun-2026,0,,1380,1396.4,1379.8,1389.1,1389.1,1868,9731.9014,14713125,-19875,11-Jun-2026
FUTSTK,CIPLA,28-Jul-2026,0,,1389.6,1402,1389,1397.4,1397.4,57,338.4692,1765450,5100,11-Jun-2026
FUTSTK,CIPLA,25-Aug-2026,0,,1406.4,1406.4,1406.4,1406.4,1402.4,1,5.9772,8925,0,11-Jun-2026
FUTSTK,COALINDIA,30-Jun-2026,0,,453.75,454.5,447.25,448.45,448.45,5108,31021.5224,79246350,199800,11-Jun-2026
FUTSTK,COALINDIA,28-Jul-2026,0,,454.25,456.35,449.8,450.5,450.5,414,2528.2253,5089500,157950,11-Jun-2026
FUTSTK,COALINDIA,25-Aug-2026,0,,452.5,454,447.1,447.8,447.8,66,401.0141,388800,29700,11-Jun-2026
FUTSTK,COCHINSHIP,30-Jun-2026,0,,1399.4,1399.4,1360,1383.2,1383.2,1795,9902.718,3538000,157600,11-Jun-2026
FUTSTK,COCHINSHIP,28-Jul-2026,0,,1386,1394,1356.7,1380.9,1380.9,729,4014.112,554000,182000,11-Jun-2026
