INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTSTK,BHARTIARTL,28-Jul-2026,0,,1865,1911,1865,1904.6,1904.6,2780,25010.2681,2254350,465975,19-Jun-2026
FUTSTK,BHARTIARTL,25-Aug-2026,0,,1870.2,1914.2,1869.2,1908.9,1908.9,426,3837.0524,7302175,35625,19-Jun-2026
FUTSTK,BHEL,30-Jun-2026,0,,407.9,423.9,404.55,414.55,414.55,11699,127545.1078,103304250,-5037375,19-Jun-2026
FUTSTK,BHEL,28-Jul-2026,0,,408.3,425.9,408.15,417.3,417.3,1958,21466.5767,6546750,1601250,19-Jun-2026
FUTSTK,BHEL,25-Aug-2026,0,,409.8,426.4,409.8,418.6,418.6,94,1034.9483,603750,49875,19-Jun-2026
FUTSTK,BIOCON,30-Jun-2026,0,,413.5,418.4,413.35,416.1,416.1,1467,15262.1163,36887500,92500,19-Jun-2026
FUTSTK,BIOCON,28-Jul-2026,0,,417.5,420.55,415.4,417.7,417.7,293,3062.2238,2307500,292500,19-Jun-2026
FUTSTK,BIOCON,25-Aug-2026,0,,419,422.3,417.35,420,420,13,136.3675,190000,22500,19-Jun-2026
FUTSTK,BLUESTARCO,30-Jun-2026,0,,1696.9,1697,1650.6,1671.1,1671.1,1384,7514.545,2680600,-30875,19-Jun-2026
FUTSTK,BLUESTARCO,28-Jul-2026,0,,1691.8,1691.8,1643.6,1666,1666,929,5013.1894,615225,131625,19-Jun-2026
FUTSTK,BLUESTARCO,25-Aug-2026,0,,1660.4,1663.8,1660.4,1662.2,1662.2,3,16.2003,14625,-325,19-Jun-2026
FUTSTK,BOSCHLTD,30-Jun-2026,0,,40000,40405,39900,40240,40240,1409,14150.7788,259600,-5750,19-Jun-2026
FUTSTK,BOSCHLTD,28-Jul-2026,0,,40250,40610,40120,40500,40500,107,1080.7063,13000,525,19-Jun-2026
FUTSTK,BOSCHLTD,25-Aug-2026,0,,40355,40450,40240,40285,40285,12,120.9638,2700,0,19-Jun-2026
FUTSTK,BPCL,30-Jun-2026,0,,315,315.7,305.5,307.7,307.7,3162,19314.6883,39241275,-381175,19-Jun-2026
FUTSTK,BPCL,28-Jul-2026,0,,317,317,307.7,309.35,309.35,1141,6997.7835,6353575,1242275,19-Jun-2026
FUTSTK,BPCL,25-Aug-2026,0,,318,318,309.1,310.8,310.8,101,623.7702,606325,100725,19-Jun-2026
FUTSTK,BRITANNIA,30-Jun-2026,0,,5224.5,5234.5,5182.5,5209.5,5209.5,1543,10046.9319,2546875,-15625,19-Jun-2026
FUTSTK,BRITANNIA,28-Jul-2026,0,,5255,5262,5214,5238.5,5238.5,233,1526.0581,89500,14125,19-Jun-2026
FUTSTK,BRITANNIA,25-Aug-2026,0,,5202.5,5202.5,5154,5178,5178,40,258.9738,30750,2625,19-Jun-2026
FUTSTK,BSE,30-Jun-2026,0,,4010,4088.6,3975.3,4027.4,4027.4,4691,70939.1194,7388625,-98625,19-Jun-2026
FUTSTK,BSE,28-Jul-2026,0,,4016.1,4096,3990.9,4039.9,4039.9,1297,10489.2444,986800,88200,19-Jun-2026
FUTSTK,BSE,25-Aug-2026,0,,4015,4105.2,4015,4060.7,4060.7,93,755.8078,159200,3200,19-Jun-2026
FUTSTK,CAMS,30-Jun-2026,0,,833.5,833.5,814.95,823,823,963,5946.1343,5394750,-123000,19-Jun-2026
FUTSTK,CAMS,28-Jul-2026,0,,827.3,827.95,816,822.7,822.7,142,963.5893,705375,29700,19-Jun-2026
FUTSTK,CAMS,25-Aug-2026,0,,830.4,830.8,823,823.35,823.35,23,156.672,66825,3300,19-Jun-2026
FUTSTK,CANBK,30-Jun-2026,0,,134.8,135.24,133.5,134.23,134.23,3416,30956.0623,281967750,-1343250,19-Jun-2026
FUTSTK,CANBK,28-Jul-2026,0,,135.37,135.89,134.15,134.87,134.87,1415,12891.5118,25096500,6399000,19-Jun-2026
FUTSTK,CANBK,25-Aug-2026,0,,136.22,136.71,135.01,135.65,135.65,115,1054.4101,3098250,540000,19-Jun-2026
FUTSTK,CDSL,30-Jun-2026,0,,1356,1382.9,1340.1,1373.6,1373.6,5104,33090.3164,7831800,-377625,19-Jun-2026
FUTSTK,CDSL,28-Jul-2026,0,,1361.6,1386.5,1344.2,1378.3,1378.3,1706,11099.2352,2092850,203300,19-Jun-2026
FUTSTK,CDSL,25-Aug-2026,0,,1362.6,1386.3,1345,1376.7,1376.7,292,1895.6357,710600,62225,19-Jun-2026
FUTSTK,CGPOWER,30-Jun-2026,0,,957.35,966.75,950.75,964.2,964.2,3225,26365.2494,19165800,-293250,19-Jun-2026
FUTSTK,CGPOWER,28-Jul-2026,0,,959,971,959,968.3,968.3,464,3811.9202,2997950,34000,19-Jun-2026
FUTSTK,CGPOWER,25-Aug-2026,0,,961,975,961,974.6,974.6,20,164.9757,125800,850,19-Jun-2026
FUTSTK,CHOLAFIN,30-Jun-2026,0,,1675.1,1705,1675.1,1694.4,1694.4,1960,20743.965,14498125,-322500,19-Jun-2026
FUTSTK,CHOLAFIN,28-Jul-2026,0,,1692.4,1712.3,1692,1702,1702,107,1138.6163,2551875,3750,19-Jun-2026
FUTSTK,CHOLAFIN,25-Aug-2026,0,,1706.7,1712.7,1700,1706,1706,6,63.9925,15625,1875,19-Jun-2026
FUTSTK,CIPLA,30-Jun-2026,0,,1364.3,1365.1,1350.2,1356,1356,2335,11884.8499,14349000,-54750,19-Jun-2026
FUTSTK,CIPLA,28-Jul-2026,0,,1370,1372,1357.5,1363.2,1363.2,565,3278.915,2291175,146625,19-Jun-2026
FUTSTK,CIPLA,25-Aug-2026,0,,1376.9,1378.9,1369.9,1371.5,1371.5,18,105.0864,28050,1700,19-Jun-2026
FUTSTK,COALINDIA,30-Jun-2026,0,,454.05,455.9,449.65,453.2,453.2,3658,22349.3081,84962250,430650,19-Jun-2026
FUTSTK,COALINDIA,28-Jul-2026,0,,455.5,458.35,452,454.85,454.85,705,4326.6602,6343650,506250,19-Jun-2026
FUTSTK,COALINDIA,25-Aug-2026,0,,453.7,454.25,450,452.85,452.85,55,335.7605,616950,45900,19-Jun-2026
FUTSTK,COCHINSHIP,30-Jun-2026,0,,1459,1473.9,1449.8,1458.8,1458.8,1831,10693.314,4619200,95200,19-Jun-2026
FUTSTK,COCHINSHIP,28-Jul-2026,0,,1449.9,1463.6,1436.6,1444.8,1444.8,944,5465.178,1808400,179600,19-Jun-2026
FUTSTK,COCHINSHIP,25-Aug-2026,0,,1439.2,1450.5,1433.8,1438.9,1438.9,54,311.366,80000,12800,19-Jun-2026
FUTSTK,COFORGE,30-Jun-2026,0,,1390,1469.5,1381,1462.8,1462.8,19214,102953.7885,17918625,1107750,19-Jun-2026
FUTSTK,COFORGE,28-Jul-2026,0,,1400,1469,1390,1461.8,1461.8,4833,32830.2577,2148425,964725,19-Jun-2026
FUTSTK,COFORGE,25-Aug-2026,0,,1411.2,1471.3,1395.2,1466.1,1466.1,486,3306.2446,269325,70300,19-Jun-2026
FUTSTK,COLPAL,30-Jun-2026,0,,2012.4,2020.6,1982.5,1998.1,1998.1,2673,12029.0018,5292450,900,19-Jun-2026
FUTSTK,COLPAL,28-Jul-2026,0,,2018,2026,1985.1,1999.5,1999.5,859,4730.1661,608025,101750,19-Jun-2026
FUTSTK,COLPAL,25-Aug-2026,0,,2030,2032.7,2001,2009.2,2009.2,126,696.2489,42625,9900,19-Jun-2026
FUTSTK,CONCOR,30-Jun-2026,0,,465.6,473.55,463.85,472.05,472.05,2204,12954.9556,26876250,-947500,19-Jun-2026
FUTSTK,CONCOR,28-Jul-2026,0,,468,476.55,466.7,475.35,475.35,464,2745.1088,2123750,340000,19-Jun-2026
FUTSTK,CONCOR,25-Aug-2026,0,,470.7,477.15,469,474.2,477.55,23,136.0431,261250,11250,19-Jun-2026
FUTSTK,CROMPTON,30-Jun-2026,0,,275.35,277.5,272.8,275.45,275.45,1029,5093.9199,50007600,-378000,19-Jun-2026
FUTSTK,CROMPTON,28-Jul-2026,0,,273.05,275.9,271.25,274.1,274.1,436,2565.5391,3085250,498800,19-Jun-2026
FUTSTK,CROMPTON,25-Aug-2026,0,,273.95,276.25,272.9,275.5,275.5,18,106.282,397750,-4300,19-Jun-2026
FUTSTK,CUMMINSIND,30-Jun-2026,0,,5878,5924.5,5830.5,5878.5,5878.5,1732,20384.936,4126200,-6600,19-Jun-2026
FUTSTK,CUMMINSIND,28-Jul-2026,0,,5866,5900,5822,5861,5861,151,1773.51,102600,2800,19-Jun-2026
FUTSTK,CUMMINSIND,25-Aug-2026,0,,5900,5928,5860,5860,5937,12,141.705,19600,-400,19-Jun-2026
FUTSTK,DABUR,30-Jun-2026,0,,428,428.9,422.5,424.95,424.95,1587,8439.5331,20703750,118750,19-Jun-2026
FUTSTK,DABUR,28-Jul-2026,0,,425,425.65,419.55,421.8,421.8,639,3374.5281,4065000,471250,19-Jun-2026
FUTSTK,DABUR,25-Aug-2026,0,,424,427.3,421.8,423.05,423.05,41,217.2438,376250,37500,19-Jun-2026
FUTSTK,DALBHARAT,30-Jun-2026,0,,1728.7,1729,1705.5,1717.7,1717.7,697,3892.1808,4725500,-26000,19-Jun-2026
FUTSTK,DALBHARAT,28-Jul-2026,0,,1722.9,1729.5,1707.7,1718.7,1718.7,111,620.0019,258050,3575,19-Jun-2026
