FUTSTK,BEL,24-Apr-2025,0,,300,302.62,295.22,298.17,298.15,6796,57824.568,23418450,9074400,21-Mar-2025
FUTSTK,BEL,29-May-2025,0,,302.14,303.86,297.21,300.06,300.05,414,3549.8648,4833600,302100,21-Mar-2025
FUTSTK,BERGEPAINT,27-Mar-2025,0,,507.7,509,496.4,500.25,500.25,1713,11325.1446,7702200,-423720,21-Mar-2025
FUTSTK,BERGEPAINT,24-Apr-2025,0,,506.35,506.95,496.65,500.45,500.45,625,4130.8945,1107480,277200,21-Mar-2025
FUTSTK,BHARATFORG,27-Mar-2025,0,,1197.85,1202.55,1168.55,1180.3,1180.3,7113,42013.9915,13406000,-427500,21-Mar-2025
FUTSTK,BHARATFORG,24-Apr-2025,0,,1210,1210.95,1176.65,1188.7,1188.7,1785,10610.8395,1395000,244000,21-Mar-2025
FUTSTK,BHARATFORG,29-May-2025,0,,1209.9,1209.9,1186,1195.6,1195.6,73,436.2645,114500,13000,21-Mar-2025
FUTSTK,BHARTIARTL,27-Mar-2025,0,,1708.9,1729.9,1695.3,1724.55,1724.55,27332,222796.6567,35639250,-2012100,21-Mar-2025
FUTSTK,BHARTIARTL,24-Apr-2025,0,,1719.3,1742,1709.8,1737.05,1737.05,10397,85322.802,6469975,3237125,21-Mar-2025
FUTSTK,BHARTIARTL,29-May-2025,0,,1724.7,1750,1720,1744.6,1744.6,277,2288.9457,174325,88350,21-Mar-2025
FUTSTK,BHEL,27-Mar-2025,0,,207.32,213.77,206.61,211.54,211.55,9798,54389.3705,63504000,-5210625,21-Mar-2025
FUTSTK,BHEL,24-Apr-2025,0,,208.64,215.1,208.5,213.35,213.35,9385,52530.0405,16590000,3241875,21-Mar-2025
FUTSTK,BHEL,29-May-2025,0,,209.62,216.2,209.62,214.45,214.45,430,2420.0568,5872125,102375,21-Mar-2025
FUTSTK,BIOCON,27-Mar-2025,0,,341.25,346.65,340.5,344.85,344.85,1857,15995.0925,17610000,-1212500,21-Mar-2025
FUTSTK,BIOCON,24-Apr-2025,0,,343.75,349,343,346.95,346.95,986,8554.235,5315000,1075000,21-Mar-2025
FUTSTK,BIOCON,29-May-2025,0,,348.25,350.65,347.2,349.15,349.15,29,253.0825,347500,12500,21-Mar-2025
FUTSTK,BOSCHLTD,27-Mar-2025,0,,27455.35,27890,27455.35,27520.45,27520.45,3619,25043.1122,288100,-27325,21-Mar-2025
FUTSTK,BOSCHLTD,24-Apr-2025,0,,27867.25,28050,27609.15,27675.4,27675.4,2366,16479.5641,53800,43950,21-Mar-2025
FUTSTK,BOSCHLTD,29-May-2025,0,,28130,28130,27910,27910,27910,6,42.0088,425,150,21-Mar-2025
FUTSTK,BPCL,27-Mar-2025,0,,271.85,284.69,270.45,279.97,279.95,12682,63503.3889,63036000,-867600,21-Mar-2025
FUTSTK,BPCL,24-Apr-2025,0,,274,286.5,272.38,281.57,281.55,5278,26672.042,7126200,2880000,21-Mar-2025
FUTSTK,BPCL,29-May-2025,0,,276,287.5,274.33,283.1,283.1,108,546.3673,176400,12600,21-Mar-2025
FUTSTK,BRITANNIA,27-Mar-2025,0,,4822.9,4850.1,4796.05,4823.1,4823.1,2882,13907.0537,2629700,-67400,21-Mar-2025
FUTSTK,BRITANNIA,24-Apr-2025,0,,4853.15,4876.4,4820.15,4847.75,4847.75,1229,5956.9704,307300,41400,21-Mar-2025
FUTSTK,BRITANNIA,29-May-2025,0,,4864.65,4878.9,4845.8,4871.7,4871.7,41,199.4755,8700,2500,21-Mar-2025
FUTSTK,BSE,27-Mar-2025,0,,4486.85,4813,4421.1,4761.65,4761.65,25833,150517.6335,3169375,-83375,21-Mar-2025
FUTSTK,BSE,24-Apr-2025,0,,4452.9,4785.6,4427.65,4738.45,4738.45,8454,48978.0403,2026250,361875,21-Mar-2025
FUTSTK,BSE,29-May-2025,0,,4461.95,4770.5,4461.95,4720.35,4720.35,404,2328.648,104625,11875,21-Mar-2025
