INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,PNB,28-Apr-26,98,CE,8.4,9.05,8.4,8.51,7.52,11,93.8336,88000,16000,1-Apr-26
OPTSTK,PNB,28-Apr-26,98,PE,2.48,2.48,1.8,2.24,2.24,54,433.1536,264000,120000,1-Apr-26
OPTSTK,PNB,28-Apr-26,99,CE,0,0,0,33.3,6.79,0,0,0,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,99,PE,2.7,2.74,2.04,2.52,2.52,43,349.072,344000,-48000,1-Apr-26
OPTSTK,PNB,28-Apr-26,100,CE,7.4,8.55,6.92,7.52,7.52,256,2206.9536,2024000,224000,1-Apr-26
OPTSTK,PNB,28-Apr-26,100,PE,3.13,3.14,2.28,2.82,2.82,631,5187.2008,4048000,408000,1-Apr-26
OPTSTK,PNB,28-Apr-26,101,CE,6.57,7.82,6.49,6.7,5.43,28,241.6664,176000,40000,1-Apr-26
OPTSTK,PNB,28-Apr-26,101,PE,3.47,3.47,2.57,3.15,3.15,48,399.8424,864000,64000,1-Apr-26
OPTSTK,PNB,28-Apr-26,102,CE,6.29,7.15,5.82,6.3,6.3,116,1005.2472,736000,-120000,1-Apr-26
OPTSTK,PNB,28-Apr-26,102,PE,3.84,3.85,2.88,3.47,3.47,112,944.7904,1912000,160000,1-Apr-26
OPTSTK,PNB,28-Apr-26,103,CE,5.48,6.59,5.2,5.62,5.62,119,1035.396,712000,80000,1-Apr-26
OPTSTK,PNB,28-Apr-26,103,PE,4.01,4.35,3.19,3.91,3.91,256,2188.8696,1192000,112000,1-Apr-26
OPTSTK,PNB,28-Apr-26,104,CE,4.8,5.95,4.7,5.08,5.08,434,3791.9208,640000,376000,1-Apr-26
OPTSTK,PNB,28-Apr-26,104,PE,4.7,4.76,3.62,4.34,4.34,403,3490.4984,1856000,800000,1-Apr-26
OPTSTK,PNB,28-Apr-26,105,CE,4,5.4,4,4.56,4.56,1847,16222.6016,4864000,1720000,1-Apr-26
OPTSTK,PNB,28-Apr-26,105,PE,5.23,5.37,4,4.81,4.81,974,8553.3176,5064000,1488000,1-Apr-26
OPTSTK,PNB,28-Apr-26,106,CE,4,4.84,3.77,4.07,4.07,234,2064.8832,1152000,88000,1-Apr-26
OPTSTK,PNB,28-Apr-26,106,PE,5.3,5.8,4.49,5.38,5.38,78,693.4888,1296000,160000,1-Apr-26
OPTSTK,PNB,28-Apr-26,107,CE,3.7,4.35,3.37,3.61,3.61,141,1249.552,1536000,-8000,1-Apr-26
OPTSTK,PNB,28-Apr-26,107,PE,5.92,6.41,5,5.89,5.89,49,442.5152,1288000,88000,1-Apr-26
OPTSTK,PNB,28-Apr-26,108,CE,3.2,3.9,3,3.22,3.22,161,1434.3288,1832000,400000,1-Apr-26
OPTSTK,PNB,28-Apr-26,108,PE,6.5,6.97,5.58,6.45,6.45,54,494.5136,1040000,144000,1-Apr-26
OPTSTK,PNB,28-Apr-26,109,CE,2.82,3.4,2.67,2.86,2.86,67,600.3528,544000,-8000,1-Apr-26
OPTSTK,PNB,28-Apr-26,109,PE,0,0,0,10,6.33,0,0,368000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,110,CE,2.9,3.08,2.32,2.51,2.51,1256,11320.1176,8360000,560000,1-Apr-26
OPTSTK,PNB,28-Apr-26,110,PE,7.86,8.33,6.68,7.83,7.83,223,2101.5272,4488000,-352000,1-Apr-26
OPTSTK,PNB,28-Apr-26,111,CE,2.15,2.64,2.1,2.21,2.21,74,671.0248,584000,-16000,1-Apr-26
OPTSTK,PNB,28-Apr-26,111,PE,0,0,0,11.1,7.81,0,0,216000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,112,CE,2.15,2.35,1.84,1.93,1.93,133,1213.5032,1144000,240000,1-Apr-26
OPTSTK,PNB,28-Apr-26,112,PE,9.18,9.58,8.15,8.68,8.6,14,135.5592,832000,8000,1-Apr-26
OPTSTK,PNB,28-Apr-26,113,CE,1.73,2.08,1.58,1.69,1.69,103,946.1824,768000,40000,1-Apr-26
OPTSTK,PNB,28-Apr-26,113,PE,0,0,0,12.96,9.41,0,0,480000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,114,CE,1.99,2,1.41,1.47,1.47,67,619.7584,480000,136000,1-Apr-26
OPTSTK,PNB,28-Apr-26,114,PE,10.92,10.99,9.65,9.65,10.26,6,59.6248,264000,8000,1-Apr-26
OPTSTK,PNB,28-Apr-26,115,CE,1.57,1.63,1.24,1.28,1.28,859,7998.452,6448000,1008000,1-Apr-26
OPTSTK,PNB,28-Apr-26,115,PE,11.7,12,10.2,10.2,11.12,9,90.984,1888000,24000,1-Apr-26
OPTSTK,PNB,28-Apr-26,116,CE,1.1,1.31,1.09,1.1,1.1,43,403.1304,496000,80000,1-Apr-26
OPTSTK,PNB,28-Apr-26,116,PE,12.57,12.65,12.57,12.65,12.01,4,41.1552,88000,-8000,1-Apr-26
OPTSTK,PNB,28-Apr-26,117,CE,1.1,1.15,0.93,0.97,0.97,109,1029.2888,720000,240000,1-Apr-26
OPTSTK,PNB,28-Apr-26,117,PE,0,0,0,16.19,12.92,0,0,200000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,118,CE,0.92,1.02,0.82,0.84,0.84,134,1274.5312,856000,264000,1-Apr-26
OPTSTK,PNB,28-Apr-26,118,PE,14.23,14.64,13.86,14.64,13.84,5,52.9392,192000,-8000,1-Apr-26
OPTSTK,PNB,28-Apr-26,119,CE,0.8,0.9,0.72,0.72,0.72,90,862.34,784000,40000,1-Apr-26
OPTSTK,PNB,28-Apr-26,119,PE,0,0,0,13.9,14.77,0,0,208000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,120,CE,0.7,0.81,0.62,0.63,0.63,933,9008.928,7208000,-928000,1-Apr-26
OPTSTK,PNB,28-Apr-26,120,PE,16.54,16.54,14.3,15.66,15.66,51,552.924,4104000,224000,1-Apr-26
OPTSTK,PNB,28-Apr-26,121,CE,0.51,0.67,0.51,0.54,0.54,45,437.6976,440000,104000,1-Apr-26
OPTSTK,PNB,28-Apr-26,121,PE,0,0,0,16.01,16.67,0,0,280000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,122,CE,0.5,0.57,0.46,0.46,0.46,38,372.4752,528000,72000,1-Apr-26
OPTSTK,PNB,28-Apr-26,122,PE,17.68,17.68,17.68,17.68,17.63,1,11.1744,640000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,123,CE,0.39,0.48,0.39,0.46,0.1,8,79.0024,168000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,123,PE,0,0,0,20.56,18.6,0,0,232000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,124,CE,0.37,0.43,0.35,0.35,0.35,69,686.5496,488000,-8000,1-Apr-26
OPTSTK,PNB,28-Apr-26,124,PE,0,0,0,20.38,19.57,0,0,120000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,125,CE,0.59,0.59,0.28,0.3,0.3,276,2767.5176,2752000,392000,1-Apr-26
OPTSTK,PNB,28-Apr-26,125,PE,21,21.02,18.97,20.35,20.35,54,626.712,1880000,-80000,1-Apr-26
OPTSTK,PNB,28-Apr-26,126,CE,0,0,0,0.5,0.05,0,0,192000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,126,PE,0,0,0,18.7,21.53,0,0,8000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,127,CE,0.26,0.26,0.22,0.22,0.22,6,61.0752,144000,24000,1-Apr-26
OPTSTK,PNB,28-Apr-26,127,PE,0,0,0,24.26,22.52,0,0,32000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,128,CE,0,0,0,0.25,0.03,0,0,56000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,128,PE,0,0,0,26,23.51,0,0,16000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,129,CE,0,0,0,0.57,0.02,0,0,32000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,129,PE,0,0,0,5.86,24.5,0,0,0,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,130,CE,0.24,0.24,0.14,0.15,0.15,270,2811.7256,3576000,208000,1-Apr-26
OPTSTK,PNB,28-Apr-26,130,PE,23.94,23.94,23.94,23.94,25.49,1,12.3152,1328000,-8000,1-Apr-26
OPTSTK,PNB,28-Apr-26,131,CE,0,0,0,8.33,0.01,0,0,0,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,131,PE,0,0,0,22.6,26.48,0,0,16000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,132,CE,0,0,0,5.83,0.01,0,0,0,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,132,PE,0,0,0,12.86,27.47,0,0,0,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,133,CE,0,0,0,0.65,0.01,0,0,24000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,133,PE,0,0,0,7.82,28.47,0,0,0,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,134,CE,0,0,0,0.17,0.01,0,0,24000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,134,PE,0,0,0,14.19,29.46,0,0,0,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,135,CE,0.12,0.12,0.09,0.09,0.01,49,529.5752,336000,112000,1-Apr-26
OPTSTK,PNB,28-Apr-26,135,PE,31.19,31.19,30,30,30.46,2,26.4952,496000,-16000,1-Apr-26
OPTSTK,PNB,28-Apr-26,136,CE,0,0,0,4.6,0.01,0,0,0,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,136,PE,0,0,0,15.57,31.45,0,0,0,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,137,CE,0,0,0,5.71,0.01,0,0,0,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,137,PE,0,0,0,10.11,32.45,0,0,0,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,138,CE,0,0,0,4.07,0.01,0,0,0,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,138,PE,0,0,0,17.01,33.44,0,0,0,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,139,CE,0,0,0,4.99,0.01,0,0,0,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,139,PE,0,0,0,11.37,34.44,0,0,0,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,140,CE,0.08,0.08,0.05,0.05,0.05,75,840.368,1904000,376000,1-Apr-26
OPTSTK,PNB,28-Apr-26,140,PE,0,0,0,37.45,35.43,0,0,216000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,141,CE,0,0,0,4.34,0.01,0,0,0,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,141,PE,0,0,0,12.7,36.43,0,0,0,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,142,CE,0,0,0,2.29,0.01,0,0,32000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,142,PE,37,37.2,36.5,36.5,37.42,4,57.236,104000,-24000,1-Apr-26
OPTSTK,PNB,28-Apr-26,143,CE,0,0,0,3.77,0.01,0,0,0,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,143,PE,0,0,0,14.1,38.42,0,0,0,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,144,CE,0.04,0.04,0.03,0.03,0.01,12,138.2752,56000,24000,1-Apr-26
OPTSTK,PNB,28-Apr-26,144,PE,38,38.27,38,38.15,39.42,6,87.4392,72000,24000,1-Apr-26
OPTSTK,PNB,28-Apr-26,146,CE,0,0,0,2.43,0.01,0,0,0,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,146,PE,0,0,0,38.82,41.41,0,0,288000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,148,CE,0,0,0,0.48,0.01,0,0,264000,0,1-Apr-26
OPTSTK,PNB,28-Apr-26,148,PE,42.5,42.5,42,42,43.4,2,30.44,16000,0,1-Apr-26
OPTSTK,PNB,26-May-26,84,CE,0,0,0,48.44,20.84,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,84,PE,0,0,0,0.02,0.15,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,86,CE,0,0,0,36.78,18.95,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,86,PE,0,0,0,0.1,0.24,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,88,CE,0,0,0,44.53,17.11,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,88,PE,0,0,0,0.05,0.38,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,90,CE,0,0,0,37.55,15.32,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,90,PE,0,0,0,0.11,0.58,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,91,CE,0,0,0,12.35,14.45,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,91,PE,0,0,0,1.78,0.7,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,92,CE,0,0,0,40.66,13.6,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,92,PE,0,0,0,0.12,0.84,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,93,CE,0,0,0,10.9,12.77,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,93,PE,0,0,0,2.31,1,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,94,CE,0,0,0,38.24,11.97,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,94,PE,0,0,0,0.17,1.19,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,95,CE,0,0,0,9.55,11.18,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,95,PE,0,0,0,2.94,1.4,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,96,CE,0,0,0,36.84,10.43,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,96,PE,0,0,0,0.23,1.64,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,97,CE,0,0,0,8.32,9.7,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,97,PE,0,0,0,3.68,1.9,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,98,CE,0,0,0,34.95,9,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,98,PE,0,0,0,0.31,2.19,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,99,CE,0,0,0,7.18,8.33,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,99,PE,0,0,0,4.53,2.51,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,100,CE,0,0,0,33.09,7.69,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,100,PE,0,0,0,0.42,2.87,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,101,CE,0,0,0,6.16,7.08,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,101,PE,0,0,0,5.49,3.25,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,102,CE,0,0,0,31.26,6.5,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,102,PE,0,0,0,0.55,3.66,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,103,CE,0,0,0,5.25,5.96,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,103,PE,0,0,0,6.55,4.11,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,104,CE,0,0,0,29.45,5.44,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,104,PE,0,0,0,0.71,4.58,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,105,CE,0,0,0,4.44,4.96,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,105,PE,0,0,0,7.71,5.09,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,106,CE,0,0,0,27.69,4.51,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,106,PE,0,0,0,0.91,5.63,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,107,CE,0,0,0,3.72,4.09,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,107,PE,0,0,0,8.98,6.2,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,108,CE,0,0,0,25.96,3.69,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,108,PE,0,0,0,1.15,6.8,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,109,CE,0,0,0,3.1,3.33,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,109,PE,0,0,0,10.34,7.43,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,110,CE,5.3,5.35,4.8,4.87,4.87,25,230.2144,208000,96000,1-Apr-26
OPTSTK,PNB,26-May-26,110,PE,9.44,9.6,9.44,9.6,8.09,2,19.1232,16000,16000,1-Apr-26
OPTSTK,PNB,26-May-26,111,CE,0,0,0,2.57,2.69,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,111,PE,0,0,0,11.79,8.77,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,112,CE,0,0,0,22.64,2.4,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,112,PE,0,0,0,1.77,9.48,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,113,CE,0,0,0,2.12,2.14,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,113,PE,0,0,0,13.31,10.21,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,114,CE,0,0,0,21.06,1.91,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,114,PE,0,0,0,2.15,10.97,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,115,CE,0,0,0,1.73,1.69,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,115,PE,0,0,0,14.9,11.75,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,116,CE,0,0,0,19.53,1.5,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,116,PE,0,0,0,2.59,12.54,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,117,CE,0,0,0,1.4,1.33,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,117,PE,0,0,0,16.55,13.36,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,118,CE,0,0,0,18.07,1.17,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,118,PE,0,0,0,3.1,14.19,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,119,CE,0,0,0,1.13,1.03,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,119,PE,0,0,0,18.26,15.04,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,120,CE,2.5,2.5,1.91,2.07,0.9,14,136.8288,200000,88000,1-Apr-26
OPTSTK,PNB,26-May-26,120,PE,0,0,0,18,15.91,0,0,64000,0,1-Apr-26
OPTSTK,PNB,26-May-26,122,CE,0,0,0,15.33,0.69,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,122,PE,0,0,0,4.29,17.68,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,124,CE,0,0,0,14.06,0.52,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,124,PE,0,0,0,4.99,19.5,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,126,CE,0,0,0,12.86,0.39,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,126,PE,0,0,0,5.76,21.35,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,128,CE,0,0,0,11.73,0.29,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,128,PE,0,0,0,6.6,23.23,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,130,CE,0.8,0.9,0.8,0.9,0.9,4,41.864,488000,8000,1-Apr-26
OPTSTK,PNB,26-May-26,130,PE,0,0,0,7.5,25.14,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,132,CE,0,0,0,9.68,0.16,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,132,PE,0,0,0,8.48,27.07,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,134,CE,0,0,0,8.76,0.11,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,134,PE,0,0,0,9.52,29.01,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,136,CE,0,0,0,7.9,0.08,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,136,PE,0,0,0,10.63,30.96,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,138,CE,0,0,0,7.11,0.06,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,138,PE,0,0,0,11.81,32.92,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,140,CE,0,0,0,6.38,0.04,0,0,0,0,1-Apr-26
OPTSTK,PNB,26-May-26,140,PE,0,0,0,13.05,34.89,0,0,0,0,1-Apr-26
