TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-01,2026-04-01,FO,BSE,IDO,878163,,SENSEX,,2026-04-02,2026-04-02,71000.00,CE,SENSEX2640271000CE,2459.00,3016.75,2052.50,2233.85,2236.30,1424.75,73134.32,2233.85,29860,-35000,85620,6309918178.00,1378,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,878344,,SENSEX,,2026-04-02,2026-04-02,71700.00,PE,SENSEX2640271700PE,332.25,332.25,34.00,80.10,71.60,673.65,73134.32,80.10,196960,115560,17159820,1231615008961.00,321559,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,878489,,SENSEX,,2026-04-02,2026-04-02,71200.00,PE,SENSEX2640271200PE,239.90,239.90,20.75,42.45,35.75,463.00,73134.32,42.45,223900,176700,13724680,977773044610.00,204913,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,879079,,SENSEX,,2026-04-02,2026-04-02,70200.00,PE,SENSEX2640270200PE,117.00,117.00,8.10,12.15,8.90,210.80,73134.32,12.15,234280,148080,4092680,287364681514.00,46021,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,880311,,SENSEX,,2026-04-02,2026-04-02,70000.00,CE,SENSEX2640270000CE,3600.00,4500.00,3131.00,3198.00,3230.00,2195.70,73134.32,3198.00,8040,-2880,13640,1004130730.00,259,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,881236,,SENSEX,,2026-04-23,2026-04-23,70000.00,PE,SENSEX2642370000PE,700.00,700.00,700.00,700.00,700.00,1382.45,73134.32,888.50,100,100,100,7070000.00,1,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,881773,,SENSEX,,2026-04-02,2026-04-02,68300.00,PE,SENSEX2640268300PE,34.60,34.60,1.90,2.85,2.00,33.30,73134.32,2.85,41800,26140,863580,58985657210.00,8663,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,882135,,SENSEX,,2026-04-16,2026-04-16,68800.00,PE,SENSEX2641668800PE,431.00,431.00,269.90,269.90,269.90,711.05,73134.32,365.15,0,0,100,6913114.00,4,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,882618,,SENSEX,,2026-04-02,2026-04-02,69100.00,PE,SENSEX2640269100PE,33.15,33.15,2.30,4.10,2.45,82.05,73134.32,4.10,93960,57200,1402280,96905234516.00,15544,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,882714,,SENSEX,,2026-04-02,2026-04-02,69300.00,PE,SENSEX2640269300PE,52.75,52.75,2.60,4.65,3.00,93.25,73134.32,4.65,67760,21980,1566120,108541978920.00,18189,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,883136,,SENSEX,,2026-04-16,2026-04-16,68500.00,PE,SENSEX2641668500PE,385.00,385.00,211.60,280.90,280.90,636.95,73134.32,318.45,20,20,240,16508516.00,12,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,883657,,SENSEX,,2026-04-02,2026-04-02,67800.00,PE,SENSEX2640267800PE,18.80,18.80,0.85,1.90,1.60,25.95,73134.32,1.90,115260,101560,1191820,80808522629.00,12832,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,885308,,SENSEX,,2026-04-02,2026-04-02,65800.00,PE,SENSEX2640265800PE,6.95,6.95,1.30,1.75,2.00,15.35,73134.32,1.75,7820,-60,46380,3051918718.00,864,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,885471,,SENSEX,,2026-04-02,2026-04-02,65300.00,PE,SENSEX2640265300PE,6.75,6.75,0.95,1.35,1.10,14.85,73134.32,1.35,17720,200,119180,7782679538.00,1635,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,885574,,SENSEX,,2026-04-02,2026-04-02,65500.00,PE,SENSEX2640265500PE,4.90,5.25,1.45,1.70,1.50,15.15,73134.32,1.70,555600,-24860,2188420,143346846597.00,11545,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,885685,,SENSEX,,2026-04-02,2026-04-02,65700.00,PE,SENSEX2640265700PE,6.95,9.00,1.35,1.85,1.50,14.90,73134.32,1.85,10100,1360,60740,3990771737.00,1287,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,886560,,SENSEX,,2026-04-02,2026-04-02,66000.00,CE,SENSEX2640266000CE,7590.05,7780.10,7590.05,7780.10,7780.10,6305.65,73134.32,7144.25,120,100,120,8837252.00,3,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,886747,,SENSEX,,2026-04-30,2026-04-30,65100.00,PE,SENSEX26APR65100PE,430.90,430.90,430.90,430.90,430.90,550.00,73134.32,229.45,1180,100,100,6553090.00,1,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,866398,,SENSEX,,2026-04-09,2026-04-09,74800.00,CE,SENSEX2640974800CE,732.20,844.85,536.25,588.20,599.05,483.30,73134.32,588.20,1260,780,5440,410604885.00,189,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,866424,,SENSEX,,2026-04-09,2026-04-09,74100.00,CE,SENSEX2640974100CE,982.15,1199.10,791.30,837.30,844.75,701.05,73134.32,837.30,4260,2680,14960,1123095553.00,498,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,866458,,SENSEX,,2026-04-09,2026-04-09,74300.00,CE,SENSEX2640974300CE,947.80,1075.35,702.15,754.15,763.85,633.00,73134.32,754.15,2520,1200,11500,864258775.00,390,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,866463,,SENSEX,,2026-04-09,2026-04-09,82000.00,CE,SENSEX2640982000CE,22.00,22.00,7.70,8.20,8.60,11.00,73134.32,8.20,10100,10040,15500,1271147215.00,206,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,866477,,SENSEX,,2026-04-09,2026-04-09,74600.00,PE,SENSEX2640974600PE,1590.05,1720.00,1460.00,1460.05,1460.05,2640.00,73134.32,2149.30,1580,1320,1340,102149721.00,26,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,866538,,SENSEX,,2026-04-09,2026-04-09,79500.00,PE,SENSEX2640979500PE,5700.00,6300.00,5525.00,6300.00,6300.00,7482.30,73134.32,6320.80,280,280,480,41057657.00,12,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,866539,,SENSEX,,2026-04-02,2026-04-02,73000.00,PE,SENSEX2640273000PE,700.05,700.05,158.40,387.55,395.50,1416.90,73134.32,387.55,617960,435480,73257160,5370040269380.00,1417695,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,866540,,SENSEX,,2026-04-09,2026-04-09,75800.00,PE,SENSEX2640975800PE,2261.85,2261.85,2243.15,2243.15,2243.15,4091.85,73134.32,3019.30,440,140,140,10926430.00,7,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,866570,,SENSEX,,2026-04-09,2026-04-09,74000.00,CE,SENSEX2640974000CE,1173.00,1250.00,813.50,885.90,920.00,718.95,73134.32,885.90,47320,31440,234080,17560575860.00,8548,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,867445,,SENSEX,,2026-04-02,2026-04-02,72700.00,PE,SENSEX2640272700PE,737.95,737.95,111.75,275.60,275.50,1197.20,73134.32,275.60,143920,52720,19490440,1421285991750.00,447061,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,867702,,SENSEX,,2026-04-09,2026-04-09,72800.00,PE,SENSEX2640972800PE,1039.15,1056.90,706.10,962.85,941.10,1813.25,73134.32,962.85,2460,1120,7040,519011984.00,282,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,876903,,SENSEX,,2026-04-09,2026-04-09,71800.00,PE,SENSEX2640971800PE,782.75,782.75,437.45,635.05,628.20,1356.75,73134.32,635.05,4100,1300,11860,858203890.00,436,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,877293,,SENSEX,,2026-04-09,2026-04-09,72400.00,PE,SENSEX2640972400PE,918.50,918.50,744.90,814.95,807.40,1588.25,73134.32,814.95,2080,420,1840,134717747.00,82,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,877536,,SENSEX,,2026-04-09,2026-04-09,71800.00,CE,SENSEX2640971800CE,2524.35,2524.35,2176.40,2176.40,2176.40,1643.30,73134.32,2176.40,900,-60,100,7425415.00,5,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,877549,,SENSEX,,2026-04-09,2026-04-09,72400.00,CE,SENSEX2640972400CE,1990.85,2202.00,1656.60,1773.75,1764.70,1406.20,73134.32,1773.75,2360,480,1220,90715206.00,48,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,877608,,SENSEX,,2026-04-09,2026-04-09,72000.00,PE,SENSEX2640972000PE,811.50,811.50,495.20,684.30,656.00,1464.10,73134.32,684.30,32360,18820,145300,10551673102.00,4974,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,877795,,SENSEX,,2026-04-09,2026-04-09,71100.00,PE,SENSEX2640971100PE,630.30,630.30,335.00,456.20,421.05,1108.55,73134.32,456.20,4620,4060,18840,1347683331.00,380,F1,20,,,,,
2026-04-01,2026-04-01,FO,BSE,IDO,878209,,SENSEX,,2026-04-30,2026-04-30,70800.00,PE,SENSEX26APR70800PE,998.80,1061.25,981.85,1061.25,1061.25,1666.90,73134.32,1399.70,120,0,160,11489327.00,6,F1,20,,,,,
